farm_id,state,district,village,crop,crop_variety,sowing_date,harvesting_date,season,land_area_acres,soil_type,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,fertilizer_used,irrigation_method,rainfall_mm,avg_temperature_c,humidity_percent,pest_attack,disease_name,pesticide_used,expected_yield_tonnes,actual_yield_tonnes,water_consumption_litres,production_cost_inr,market_price_inr,profit_loss_inr,crop_health_score,sustainability_score
FARM00001,Tamil Nadu,Madurai,Village_496,Maize,DHM117,2023-02-24,2023-07-20,Rabi,24.52,Clay,8.0,156,148,148,Urea,Canal,72.1,35.2,70,Yes,Leaf Blight,Imidacloprid,92.74,74.19,678611.2,724823.14,294674.53,-430148.61,25,59
FARM00002,Karnataka,Belagavi,Village_289,Millet,Ragi,2020-06-10,2020-10-10,Kharif,9.69,Clay,7.3,88,140,101,NPK,Flood,16.3,28.2,60,No,None,Neem Oil,31.16,33.21,445058.6,158203.84,82061.7,-76142.14,73,51
FARM00003,Maharashtra,Pune,Village_267,Maize,DHM117,2022-10-21,2023-03-14,Rabi,24.6,Red,6.0,47,62,180,Organic Compost,Flood,29.6,22.9,51,No,None,Neem Oil,72.89,74.27,870202.3,781505.6,309828.38,-471677.22,92,67
FARM00004,West Bengal,Kolkata,Village_363,Sugarcane,Co86032,2020-01-15,2020-06-26,Zaid,12.27,Red,5.8,98,87,177,Vermicompost,Flood,38.7,26.7,56,No,None,Neem Oil,43.62,45.2,872048.6,247373.94,155357.39,-92016.55,67,95
FARM00005,Uttar Pradesh,Lucknow,Village_106,Soybean,NRC37,2023-05-04,2023-09-12,Zaid,11.15,Black,8.1,120,129,154,Urea,Flood,68.4,34.3,59,No,None,Neem Oil,38.93,41.19,693503.5,175323.76,88949.77,-86373.99,78,82
FARM00006,Assam,Jorhat,Village_320,Soybean,NRC37,2021-06-17,2021-12-14,Kharif,20.43,Black,6.3,76,116,80,Organic Compost,Rain-fed,50.1,25.4,61,Yes,Leaf Blight,Chlorpyrifos,60.7,48.56,559694.4,387999.04,190362.55,-197636.49,38,84
FARM00007,Karnataka,Mysuru,Village_281,Millet,Ragi,2021-08-12,2021-12-15,Kharif,4.03,Laterite,7.6,109,40,122,NPK,Canal,40.3,24.7,52,No,None,Neem Oil,14.1,13.78,302040.3,115070.4,34827.63,-80242.77,69,66
FARM00008,Rajasthan,Jaipur,Village_99,Cotton,Bt,2020-08-03,2021-01-20,Kharif,1.9,Clay,6.5,128,176,167,Organic Compost,Canal,26.7,21.9,52,No,None,Neem Oil,5.28,5.17,39198.4,23398.65,9474.58,-13924.07,67,67
FARM00009,West Bengal,Kolkata,Village_102,Millet,Bajra,2020-01-17,2020-05-21,Kharif,14.79,Red,6.1,177,131,44,Organic Compost,Canal,60.4,30.2,72,No,None,Neem Oil,63.62,63.56,729361.7,346398.28,121070.43,-225327.85,66,53
FARM00010,Karnataka,Belagavi,Village_324,Wheat,HD2967,2020-01-04,2020-04-22,Zaid,24.95,Loamy,6.7,130,100,165,Vermicompost,Flood,64.9,21.1,68,No,None,Neem Oil,98.67,103.16,1976439.2,429999.0,395405.27,-34593.73,61,53
FARM00011,West Bengal,Kolkata,Village_380,Sugarcane,Co86032,2022-02-13,2022-06-06,Zaid,13.49,Red,5.8,54,117,63,DAP,Canal,82.1,28.9,70,No,None,Neem Oil,57.76,56.13,946004.8,370831.56,147757.75,-223073.81,89,79
FARM00012,Uttar Pradesh,Meerut,Village_466,Soybean,JS335,2023-06-27,2023-12-23,Zaid,11.11,Clay,7.2,166,77,77,DAP,Sprinkler,59.6,23.5,58,No,None,Neem Oil,45.39,49.89,476535.3,353037.84,127041.5,-225996.34,94,92
FARM00013,Maharashtra,Nashik,Village_298,Sugarcane,Co0238,2022-05-31,2022-09-01,Rabi,15.47,Alluvial,6.0,83,105,127,DAP,Sprinkler,17.6,23.3,52,No,None,Neem Oil,37.5,39.6,1099615.0,468741.31,148411.27,-320330.04,68,66
FARM00014,Rajasthan,Kota,Village_284,Potato,Kufri Jyoti,2022-08-01,2022-11-06,Kharif,10.64,Laterite,6.0,95,50,64,Organic Compost,Drip,48.8,32.7,64,No,None,Neem Oil,42.24,45.76,208691.9,243044.06,180760.52,-62283.54,91,57
FARM00015,Uttar Pradesh,Meerut,Village_486,Potato,Kufri Jyoti,2023-03-16,2023-08-26,Rabi,6.61,Black,7.9,126,103,74,DAP,Sprinkler,79.4,32.2,75,No,None,Neem Oil,30.8,32.14,508660.5,106043.38,134556.63,28513.25,59,81
FARM00016,Maharashtra,Nashik,Village_400,Potato,Kufri Pukhraj,2021-12-09,2022-04-08,Zaid,14.67,Laterite,7.9,116,79,44,DAP,Sprinkler,143.3,27.6,93,No,None,Neem Oil,61.35,62.28,1148949.7,388103.31,161861.65,-226241.66,84,92
FARM00017,Assam,Jorhat,Village_429,Maize,HQPM1,2023-02-22,2023-06-15,Kharif,2.03,Black,7.5,140,161,98,NPK,Sprinkler,75.6,20.0,74,No,None,Neem Oil,7.86,7.84,132181.0,65672.61,19609.23,-46063.38,64,88
FARM00018,Rajasthan,Kota,Village_79,Maize,DHM117,2023-05-12,2023-08-15,Kharif,12.41,Clay,5.8,85,112,96,Organic Compost,Flood,105.8,25.0,78,No,None,Neem Oil,46.98,47.54,633276.6,315753.55,164059.51,-151694.04,57,59
FARM00019,Rajasthan,Kota,Village_90,Cotton,Suraj,2021-08-16,2021-12-29,Zaid,2.92,Black,6.1,69,135,148,Urea,Flood,73.1,25.8,65,Yes,Leaf Blight,Imidacloprid,12.41,9.93,57512.1,75210.75,35112.04,-40098.71,23,87
FARM00020,Uttar Pradesh,Lucknow,Village_166,Potato,Kufri Jyoti,2023-12-21,2024-05-27,Rabi,24.14,Clay,6.4,113,74,87,DAP,Rain-fed,17.5,27.9,57,Yes,Leaf Blight,Chlorpyrifos,72.29,57.83,1810756.8,826591.66,233046.59,-593545.07,52,76
FARM00021,Uttar Pradesh,Meerut,Village_28,Rice,IR64,2020-10-17,2021-01-22,Kharif,13.65,Black,6.4,162,147,106,Organic Compost,Rain-fed,68.6,33.5,75,No,None,Neem Oil,48.19,48.9,371770.5,387655.64,198437.68,-189217.96,97,61
FARM00022,Uttar Pradesh,Meerut,Village_466,Rice,Basmati,2020-06-26,2020-10-21,Rabi,5.11,Black,7.7,80,124,80,Vermicompost,Flood,63.4,33.0,68,No,None,Neem Oil,18.45,18.98,235611.6,118081.83,68403.4,-49678.43,71,95
FARM00023,Rajasthan,Jaipur,Village_352,Rice,IR64,2023-03-13,2023-08-13,Kharif,7.89,Black,5.8,132,138,168,Organic Compost,Flood,106.0,30.7,82,No,None,Neem Oil,29.05,30.26,180664.9,164453.94,114815.28,-49638.66,56,45
FARM00024,Rajasthan,Jaipur,Village_286,Maize,DHM117,2023-08-06,2023-12-25,Kharif,11.14,Black,8.1,92,97,149,Urea,Canal,75.7,23.1,62,Yes,Leaf Blight,Chlorpyrifos,40.14,32.11,328166.5,287459.73,65669.19,-221790.54,24,87
FARM00025,Tamil Nadu,Madurai,Village_297,Millet,Bajra,2022-08-10,2022-11-16,Rabi,3.4,Loamy,6.8,163,127,177,Organic Compost,Canal,14.4,33.5,55,No,None,Neem Oil,8.75,8.86,178548.4,59090.43,25298.59,-33791.84,92,71
FARM00026,Punjab,Ludhiana,Village_181,Sugarcane,Co86032,2022-12-31,2023-06-09,Kharif,1.74,Loamy,7.3,133,121,91,NPK,Flood,44.6,30.8,58,Yes,Leaf Blight,Imidacloprid,5.65,4.52,59115.4,28063.96,12181.47,-15882.49,57,77
FARM00027,Maharashtra,Nashik,Village_123,Millet,Ragi,2021-04-02,2021-09-18,Kharif,13.83,Loamy,5.5,44,124,130,Urea,Canal,30.2,25.8,54,No,None,Neem Oil,50.88,51.12,774609.8,187485.32,158559.47,-28925.85,69,64
FARM00028,West Bengal,Siliguri,Village_304,Maize,DHM117,2022-03-02,2022-08-21,Rabi,6.31,Loamy,6.7,44,51,42,DAP,Drip,73.3,21.4,71,No,None,Neem Oil,20.32,20.87,333074.7,88941.37,48908.73,-40032.64,93,70
